Date of Publication,Month,Section,Headline Text,Article Text,Keyword ,Segment_1,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual_1,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,Humanization,Mechanistic Dehumanization,Animalistic Dehumanization,Infrahumanization Primary Emotions,Infrahumanization Secondary Emotions,Care_Score,Fairness_Score,Loyalty_Score,Authority_Score,Sanctity_Score,Care_Sentiment,Fairness_Sentiment,Loyalty_Sentiment,Authority_Sentiment,Sanctity_Sentiment,Masculine,Feminine,Care_Virtue,Care_Vice,Fairness_Virtue,Fairness_Vice,Loyalty_Virtue,Loyalty_Vice,Authority_Virtue,Authority_Vice,Sanctity_Virtue,Sanctity_Vice,Deontology,Consequentialism,Moral_Emotions_General,Contempt,Anger,Disgust,Shame,Embarrassment,Guilt,Compassion,Gratitude,Elevation,Valence_Pos,Valence_Neg,Valence_Neut,Sociability_Freq,Sociability_Direction,Morality_Freq,Morality_Direction,Ability_Freq,Ability_Direction,Agency_Freq,Agency_Direction,Health_Freq,Health_Direction,Status_Freq,Status_Direction,Work_Freq,Work_Direction,Politics_Freq,Politics_Direction,Religion_Freq,Religion_Direction,Beliefs_Other_Freq,Beliefs_Other_Direction,Inhabitant_Freq,Country_Freq,Feelings_Freq,Relatives_Freq,Clothing_Freq,Ordinariness_Freq,Ordinariness_Direction,Body_Part_Freq,Body_Property_Freq,Skin_Freq,Body_Covering_Freq,Beauty_Freq,Beauty_Direction,Insults_Freq,STEM_Freq,Humanities_Freq,Art_Freq,Social_Groups_Freq,Lacks_Knowledge_Freq,Fortune_Freq,Threat,Segment,bathroom,Houston,equality,predator,assault,woman,sexual,slogan,discrimination,gay,transgender,safety,condition 
5/31/14,1,B,LETTERS - Gun debate back in our sights ,"
Where fault lies
Regarding the ""Collateral damage"" editorial (Page B8, Thursday), of the nine paragraphs devoted to the anti-gun piece, one single sentence stands out to expose your hypocrisy and answer the opening question, ""Why did Chris die?"" Buried in the middle of the piece, probably hoping no one would notice, is this: ""And yes, he killed with knives as well as guns."" There you have it, right in front of you, but the choice to politicize tragedy in order to promote an agenda seems to trump the truth these days.
Chris died, not because of "" craven, irresponsible politicians and the NRA."" He died because a deranged criminal chose to violate the most sacrosanct tenet of civil society by committing murder. To be brutally frank, this tragedy has nothing to do with either the NRA or craven politicians. If you choose not to believe me, then ask the families of the three souls stabbed to death.
Lionel J. Rotelli Jr., Conroe Solutions?
Reading the headline about needing to change America's gun culture, I was intrigued. Much of the gun violence occurs where the gun laws are the most strict, as in Chicago. Some of the recent dead were killed with a knife and there have been some mass stabbings as well. So, I assumed that the editorial was going to discuss solutions to reduce the exposure to guns such as eliminating all movies, TV shows, video games, newspapers and books that include guns. While we are at it, we should do the same with knives.
Unfortunately, such a solution would violate our beloved First Amendment. We should never allow that, but it is politically correct to consider the same for the hated Second Amendment.
Pat Wetuski, Kingwood More study
Your editorial, once again, made me proud to be a subscriber. Please do not stop. Your point about the law change in Australia was extremely valid but please elaborate in more detail. If necessary, go country by country, to drive the point home. Please analyze every aspect of this American phenomenon: Cultural leanings, NRA's self-interest, mentally imbalanced individuals, type of heavy machines, etc.
After a lengthy and detailed study, you would know that you have accomplished something for the city of Houston and perhaps, if copied by others, the country.
Kamran Nasr, Houston ...
Care about victims
Regarding ""Tax-collection vendors tied to lawmakers, officials (Page B1, Monday), I am concerned when large law firms involved in the collection of delinquent taxes can influence the process by hiring attorneys who also serve as state legislators. I am just as concerned when these same law firms can influence the news coverage by hiring media people to serve as spokespersons. Overall, the names listed in this article were a who's-who of local government, with everyone using their connections to get in on lucrative government contracts. In this case, it was mostly Democrats, but that's only because the Republicans have a different group of backers - homebuilders, oil and gas - making sure their financial needs are met.
As a citizen, you're left to wonder if there's anyone left who could be considered clean. Matthew Bradley, Spring
Rights of all
Regarding ""Council approves extension of rights protection to gays"" (Page A1, Thursday), David Welch of the Houston Area Pastors Council believes the Houston City Council catered to a ""tiny interest group ... instead of serving the people"" of Houston by passing the Houston Equal Rights Ordinance.
I'm amazed he thinks the only ones concerned for the civil liberties of the LGBT community are members of that community alone. If we are not concerned about the civil liberties of everyone, everyone's liberties are at risk.
To deny housing, employment or equal protection under the law because of sexual orientation defies logic, ethics and the U.S. Constitution.
The Houston City Council did serve the people when they chose to protect the rights of all.
Martha Nelson, Houston
Explaining the VA
Regarding ""VA staff alleged to have altered records"" (Page A1, Sunday), I am a vet in the system and this is an attempt to explain the current system.
Imagine Houston with only one hospital and only six primary-care doctors, and their offices are in the hospital. All imaging and testing is in the hospital, as well.
Try to get an appointment in that system, or a parking space. Try to fight the traffic.
The medical staff is not the problem. I have always been treated with the utmost respect and caring. Increased capacity is the expensive answer, and that can only be solved by Congress.
David Koger, Rosenberg Tell the stories
Regarding Joe Holley's column ""WWII veterans silent but not forgotten"" (Page B1, Sunday), the article really struck a chord with me. I'm a 55-year-old white female and, though no one in my immediate family served during World War II, it is one of my favorite periods of history.
My deceased husband had three uncles in the war, two who died in the D-Day invasion. The third uncle did make it home from the Pacific theatre, but with a permanent injury. My current husband's parents both served during WWII, which is how they met. Hubby's maternal uncle also served in WWII as a pilot.
So, please tell Cousin Bob that he must tell his story. Not only for himself but for all the young American men and women who died preserving the freedom we as U.S. citizens enjoy.
If those courageous young people had not stepped up to the line, where would the world be? I hope and pray you hear from many more readers saying the same thing: that Cousin Bob is wrong, people do care and want to hear the stories.",Houston Eqaul Rights Ordinance ,1,943,78.27,53.36,27.63,16.6,18.13,23.86,84.62,62.57,50.16,8.91,5.2,1.7,0.64,1.06,0.64,0.53,3.71,16.12,9.01,1.91,13.04,6.89,4.56,6.68,1.27,13.47,6.47,3.92,6.04,1.59,1.06,3.39,14.21,2.01,12.2,2.97,1.48,1.91,2.23,0.32,3.82,0.11,4.56,1.91,2.23,1.27,0.53,0.32,0,0.11,0.21,0,13.79,5.51,0.85,0.95,0.64,0.95,1.7,7.32,1.17,0,0.42,1.48,3.61,2.76,0.42,0.42,4.14,0.53,0.32,2.55,0.42,0.32,2.12,0.64,0.32,0,0,0,0.32,0,1.17,0.42,0.32,0.32,0,0,0,0.11,0.42,0.32,3.18,6.57,0.42,0.42,5.3,0.11,0.32,0.11,3.18,3.82,3.71,0.53,0.11,0,0.11,0,0,19.3,6.15,7.32,0.32,0,1.27,4.24,0,0.95,0.11,0.11,0,0.42,3.44,3.46,2.97,2.99,2.73,-3.74,-2.62,-1.14,-1.89,-2.42,0.42,0.21,0.64,1.06,1.17,0.21,1.17,0,0.53,0,0.42,0.11,1.38,0,0.32,0,0,0,0,0,0.11,0,0,0.11,2.12,1.19,18.96,233.3,1.7,371.16,-0.11,159.07,1.48,148.46,1.27,159.07,-0.95,159.07,0.21,360.55,0,74.23,-0.32,53.02,0.42,31.81,0,159.07,116.65,95.44,74.23,31.81,95.44,0,116.65,53.02,10.6,84.84,0,0,0,106.04,74.23,106.04,31.81,21.21,0,2.23,1,0,0.95,0,0,0,0,0.11,0,0,0,0,0,1
5/29/14,1,A,"Council approves extension of rights protection to gays - Mayor hails vote, but opponents vow to force recalls, referendum ","After nearly nine hours of discussion, punctuated by opponents chanting outside City Hall and by emotional supporters' personal stories of discrimination, the Houston City Council on Wednesday passed an ordinance extending equal rights protections to gay and transgender residents.
Public dissension has persisted for weeks, but the final vote was 11-6, a count that matched guesses made months ago when Mayor Annise Parker - the first openly gay mayor of a major U.S. city - said she planned to bring the measure forward.
The approval was greeted with applause from the audience, largely full of supporters by the time of the vote, and chants of ""HERO,"" for the Houston Equal Rights Ordinance.
Opponents vow to gather the signatures needed to trigger a referendum to repeal the law this November, and others say they plan to seek recall elections against some council members who supported the measure.
Reflecting after the vote, Parker mentioned her son, who is gay and black, and her daughters, who are biracial.
""This is not the most important thing I have done or will do as mayor, but it is the most personally satisfying and most personally meaningful thing I will do as mayor - not just for myself, but for my children and for all the other mothers' children out there who have an opportunity to have redress if they are discriminated against here in the city of Houston,"" the mayor said.
The measure bans discrimination based not just on sexual orientation and gender identity but also, as federal laws do, sex, race, color, ethnicity, national origin, age, religion, disability, pregnancy and genetic information, as well as family, marital or military status.
The ordinance applies to businesses that serve the public, private employers, housing, city employment and city contracting. Religious institutions are exempt. Violators could be fined up to $5,000.
Council members Brenda Stardig, Dwight Boykins, Dave Martin, Oliver Pennington, Michael Kubosh and Jack Christie voted no, saying either that they must represent their constituents or that they had been left out of the drafting process.
""I want to represent all the city of Houston,"" Kubosh said, ""but I have a problem voting against what I feel like the majority of the city of Houston voters are asking me to do.""
Marathon testimony
In the marathon testimony - the speakers list was the longest City Secretary Anna Russell could recall, and she has worked for the city for six decades - supporters stressed that the eyes of the world and of companies deciding whether to relocate to Houston were watching the vote, just as opponents invoked the gaze of God and of vengeful voters in next year's municipal elections - or at the ballot box this fall.
Opponent Dave Welch, of the Houston Area Pastors Council, said his group will begin gathering signatures against the ordinance to trigger a referendum seeking its repeal this November. The group would need to gather roughly 17,000 signatures - or 10 percent of turnout in last fall's mayoral race - in the next 30 days.
""Once we correct this grievous act through the ballot this fall,"" Welch said in a statement, ""we will then remind those members that patronizing a tiny interest group and outgoing mayor instead of serving the people leads to a short political career."" Parker said she would encourage those desiring repeal to respect the will of the City Council.
""The idea that we might possibly have a vote in November on whether or not the city of Houston should discriminate, I think, would be unfortunate,"" Parker said, ""but they have the right to do that.""
Houston voters twice have rejected protections or benefits for gays, in 1985 and in 2001.
The most recent vote was spearheaded by Houston Community College trustee and longtime anti-gay advocate Dave Wilson, who said he plans to gather signatures to seek a recall election against ""three or four"" council members who voted yes.
Only the number of signatures equivalent to one-quarter of the votes cast for mayor in a given council district are required, which Wilson said makes some districts with poor turnout particularly ripe targets.
The signatures must be gathered within a 30-day period and a recall petition must list grounds related to ""incompetence, misconduct, malfeasance or unfitness for office."" The target of such a petition could then object, triggering a vote of the City Council on whether the grounds are sufficient. City Attorney David Feldman said the city's 100-year-old recall process has never been used, and added a single ordinance vote would not be valid grounds.
""Some people say it's intimidation, et cetera, but I look at it as accountability,"" Wilson said, adding he views Feldman as a biased source. ""People are elected to represent their district. They're not up there to propagate their own personal views.""
Wilson said he also is gathering the signatures needed to seek a charter amendment banning a biological man from using a women's restroom. The ordinance passed Wednesday offers such a protection for transgender residents citywide, as does an executive order Parker signed in 2010 applying to city facilities.
Charter vote
The earliest a charter vote could appear would be May 2015, but Feldman said such an effort may be too relevant to the ordinance passed Wednesday, meaning the signatures gathered would need to fall within the 30-day window.
Councilman Jerry Davis referenced public backlash in explaining his support for the ordinance, invoking his daughters and his 9- year-old son.
""He probably will go through some of the same discriminatory practices that have been acted out on me, and I want a better city for him,"" said Davis, who is black and has shared his own experiences of discrimination. ""For those out there going around threatening me as it relates to, 'We won't vote for you,' that's fine, if that's the way you choose to feel. I won't be bothered by idle threats.""",Houston Eqaul Rights Ordinance ,1,972,83.52,47.38,22.69,25.55,28.59,27.16,83.95,60.08,48.35,8.33,5.25,1.44,0.41,0.21,1.54,0.93,3.09,15.02,9.16,2.16,13.27,7.72,2.57,6.48,1.03,13.68,5.14,4.12,5.76,1.85,1.13,2.88,11.93,0.51,11.42,2.37,1.13,2.26,1.95,0.21,4.42,0.62,3.09,1.65,1.23,0.51,0.1,0.21,0.1,0.1,0,0,14.61,5.25,0.51,0.1,1.23,0.21,2.57,7.51,0.82,0,0.93,1.34,4.84,4.63,0.21,0,3.09,0,0.41,2.26,0.1,0.41,1.13,0.21,0,0.1,0,0,0.72,0,0,0.72,0.31,0.72,0,0.31,0,0.21,0.51,0,3.29,7.61,0.62,0.93,5.25,1.13,0.1,0.21,3.4,4.12,2.57,1.65,0.1,0,0.1,0,0,17.08,3.7,7.2,0,0,1.44,4.73,0,0.51,0.1,0.21,0,0,3.49,3.54,3.15,3.43,2.68,-2.75,-1.96,-0.74,-1.51,-2.13,0.1,0.93,0.31,0.21,0.62,0.62,0.62,0,0.41,0,0.31,0.1,0.72,0.1,0,0,0,0,0,0,0,0,0,0,1.71,1.26,16.79,113.17,0.62,329.22,-0.93,144.03,0.82,102.88,0.82,133.74,-0.93,257.2,-0.72,360.08,0,133.74,-0.1,51.44,0.51,0,0,82.3,185.19,102.88,41.15,30.86,61.73,0.1,123.46,41.15,41.15,51.44,0,0,0,51.44,10.29,133.74,61.73,10.29,10.29,0.51,1,0.31,1.03,0,0,0,0,0.1,0,0.31,0.31,0.21,0,1
5/29/14,1,Annise Parker,@AnniseParker,"#HERO New Houston equal rights ordinance gives local protection, for the first time, against discrimination on race/gender/religion/etc.-A",,1,21,99,16.63,56.69,99,21,28.57,76.19,47.62,28.57,0,0,0,0,0,0,0,0,14.29,9.52,4.76,14.29,0,0,0,0,4.76,14.29,9.52,9.52,0,0,9.52,9.52,0,9.52,0,0,0,0,0,9.52,0,9.52,9.52,0,0,0,0,0,0,0,0,9.52,9.52,0,0,4.76,4.76,0,4.76,0,0,0,0,0,0,0,0,4.76,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,4.76,4.76,0,0,4.76,0,0,0,4.76,0,4.76,0,0,0,0,0,0,38.1,4.76,9.52,0,0,0,23.81,0,0,0,0,0,0,7.1,9.94,5.53,6.03,6.34,-2.16,-0.09,6.34,0.61,-0.29,0,0,0,0,9.52,4.76,0,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,1.19,0.57,41.1,0,0,1428.57,-4.76,0,0,0,0,0,0,476.19,4.76,0,0,476.19,-4.76,476.19,4.76,0,0,476.19,0,0,0,0,0,0,0,476.19,476.19,0,0,0,0,0,0,476.19,0,0,0,0,1,4.76,4.76,0,0,0,0,0,0,4.76,0,0,0,2
5/29/14,1,Annise Parker,@AnniseParker,"#HERO Petition may force repeal election, but Houston won't vote for discrimination. This protects vets/seniors/disabled/etc. Right thing.-A",,1,21,42.52,40.06,1,88.66,7,33.33,76.19,38.1,33.33,9.52,0,0,0,0,0,0,9.52,9.52,4.76,0,4.76,9.52,0,4.76,4.76,9.52,4.76,0,14.29,0,0,14.29,14.29,0,14.29,0,4.76,0,4.76,0,4.76,0,4.76,4.76,0,0,0,0,0,0,0,0,14.29,9.52,0,0,4.76,4.76,0,9.52,0,0,0,0,9.52,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,47.62,14.29,4.76,0,0,4.76,23.81,0,0,0,0,0,0,7.21,8.77,6.45,5.6,5.71,-3.5,-0.95,-0.66,-1.11,-3.87,4.76,0,0,0,0,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,4.71,22.76,0,0,1428.57,4.76,476.19,-4.76,476.19,4.76,476.19,-4.76,476.19,0,0,0,952.38,4.76,0,0,0,0,0,0,476.19,0,0,0,0,476.19,0,0,0,0,0,0,0,0,476.19,0,0,0,0,1,4.76,4.76,0,0,0,0,0,0,4.76,0,0,0,2
5/29/14,1,Annise Parker,@AnniseParker,#HERO Opponents will ignore that this ordinance protects on > a dozen different characteristics and pretend it is only about GLBTs.-A,,1,21,42.52,40.06,1,88.66,21,28.57,80.95,71.43,57.14,14.29,0,0,0,0,0,0,14.29,23.81,9.52,4.76,9.52,9.52,9.52,4.76,0,19.05,9.52,4.76,0,0,0,0,9.52,0,9.52,0,0,0,0,0,4.76,0,4.76,4.76,0,0,0,0,0,0,0,0,9.52,9.52,0,0,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,4.76,4.76,0,0,0,0,0,0,0,4.76,4.76,0,0,0,0,0,19.05,4.76,0,0,0,0,14.29,0,0,0,0,0,0,2.53,2.57,2.61,3.06,2.42,-3.06,-0.25,-0.7,1.42,-2.27,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,2.62,25.67,0,0,952.38,0,476.19,-4.76,952.38,9.52,0,0,0,0,476.19,0,0,0,0,0,0,0,0,0,0,0,0,476.19,-4.76,0,0,0,0,0,0,0,476.19,0,476.19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
5/29/14,1,Annise Parker,@AnniseParker,"#HERO New Houston equal rights ordinance gives local protection, for the first time, against discrimination on race/gender/religion/etc.-A",,1,21,99,16.63,56.69,99,21,28.57,76.19,47.62,28.57,0,0,0,0,0,0,0,0,14.29,9.52,4.76,14.29,0,0,0,0,4.76,14.29,9.52,9.52,0,0,9.52,9.52,0,9.52,0,0,0,0,0,9.52,0,9.52,9.52,0,0,0,0,0,0,0,0,9.52,9.52,0,0,4.76,4.76,0,4.76,0,0,0,0,0,0,0,0,4.76,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,4.76,4.76,0,0,4.76,0,0,0,4.76,0,4.76,0,0,0,0,0,0,38.1,4.76,9.52,0,0,0,23.81,0,0,0,0,0,0,7.1,9.94,5.53,6.03,6.34,-2.16,-0.09,6.34,0.61,-0.29,0,0,0,0,9.52,4.76,0,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,1.19,0.57,41.1,0,0,1428.57,-4.76,0,0,0,0,0,0,476.19,4.76,0,0,476.19,-4.76,476.19,4.76,0,0,476.19,0,0,0,0,0,0,0,476.19,476.19,0,0,0,0,0,0,476.19,0,0,0,0,1,4.76,4.76,0,0,0,0,0,0,4.76,0,0,0,2
5/28/14,1,Annise Parker,@AnniseParker,Signing Houston's first comprehensive equal rights ordinance! It protects us all.-A,,1,12,73.36,84.23,3.81,20.23,6,41.67,75,58.33,41.67,16.67,8.33,0,8.33,0,0,0,8.33,25,8.33,8.33,0,0,0,0,0,0,16.67,25,16.67,8.33,0,8.33,16.67,8.33,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,8.33,0,0,8.33,8.33,8.33,0,0,0,0,0,0,3.31,5.32,4.52,4.25,2.13,2.27,1.68,2.12,3.12,-1.72,0,0,0,0,16.67,0,0,0,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,833.33,8.33,0,0,0,0,0,0,0,0,0,833.33,0,0,0,0,0,0,0,0,0,0,0,0,833.33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
5/28/14,1,Annise Parker,@AnniseParker,"Thanks to my exec team (pictured), CM Cohen and CM Laster for the heavy lifting on #HERO.-A http://houstontx.gov/mayor/images/mayorstaff-2014april-large.jpg",,1,26,98.28,81.78,30.98,79.29,26,15.38,80.77,50,26.92,3.85,3.85,3.85,0,0,0,0,0,11.54,7.69,3.85,11.54,0,0,3.85,0,7.69,3.85,11.54,7.69,3.85,0,3.85,0,0,0,0,0,0,0,0,0,0,11.54,7.69,3.85,3.85,0,3.85,0,0,0,0,15.38,11.54,7.69,3.85,0,3.85,3.85,11.54,0,0,0,0,7.69,3.85,0,3.85,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23,0,0,7.69,7.69,0,3.85,3.85,3.85,0,0,3.85,3.85,0,0,0,61.54,11.54,3.85,0,0,0,46.15,0,0,0,0,0,0,2.49,2.11,2.58,2.21,1.73,1,-0.91,2.38,5.48,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,1.04,13.8,0,0,400,4,0,0,0,0,0,0,0,0,400,0,400,0,0,0,0,0,0,0,400,0,0,0,0,0,400,0,0,0,0,0,0,0,800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
5/28/14,1,Wendy Davis,@wendydavis,Proud of Houston for passing an inclusive equal rights ordinance to ensure the #LGBT community and all Texans are treated fairly. #HERO,,1,22,97.37,66.75,5.07,99,11,27.27,81.82,59.09,40.91,0,0,0,0,0,0,0,0,13.64,9.09,0,13.64,4.55,4.55,4.55,0,13.64,4.55,9.09,13.64,4.55,4.55,4.55,13.64,4.55,9.09,0,0,0,4.55,0,4.55,0,9.09,9.09,0,4.55,4.55,0,0,0,0,0,13.64,9.09,4.55,0,0,4.55,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,9.09,4.55,4.55,0,0,0,0,0,0,4.55,0,0,0,0,0,0,13.64,4.55,0,0,0,0,9.09,0,0,0,0,0,4.55,5.82,7.79,6.14,5.15,4.57,5.24,7.34,8.58,7.16,2.62,0,0,0,0,9.09,0,4.55,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,2.86,1.68,4.55,454.55,4.55,1363.64,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.55,0,0,0,0,0,0,0,0,0,0,0,0,0,454.55,0,0,0,0,1,0,4.55,0,0,0,0,0,0,0,0,0,0,2
5/28/14,1,Wendy Davis,@wendydavis,Proud of Houston for passing an inclusive equal rights ordinance to ensure the #LGBT community and all Texans are treated fairly. #HERO,,1,22,97.37,66.75,5.07,99,11,27.27,81.82,59.09,40.91,0,0,0,0,0,0,0,0,13.64,9.09,0,13.64,4.55,4.55,4.55,0,13.64,4.55,9.09,13.64,4.55,4.55,4.55,13.64,4.55,9.09,0,0,0,4.55,0,4.55,0,9.09,9.09,0,4.55,4.55,0,0,0,0,0,13.64,9.09,4.55,0,0,4.55,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,9.09,4.55,4.55,0,0,0,0,0,0,4.55,0,0,0,0,0,0,13.64,4.55,0,0,0,0,9.09,0,0,0,0,0,4.55,5.82,7.79,6.14,5.15,4.57,5.24,7.34,8.58,7.16,2.62,0,0,0,0,9.09,0,4.55,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,2.86,1.68,4.55,454.55,4.55,1363.64,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.55,0,0,0,0,0,0,0,0,0,0,0,0,0,454.55,0,0,0,0,1,0,4.55,0,0,0,0,0,0,0,0,0,0,2
